gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,TotalCharges_missing,MultipleLines_No,MultipleLines_No phone service,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group_0-12,tenure_group_13-24,tenure_group_25-48,tenure_group_49-60,tenure_group_61+,MonthlyCharges_TotalCharges,tenure_TotalCharges,MonthlyCharges_tenure,TotalCharges_log,MonthlyCharges_bin_Low,MonthlyCharges_bin_Medium,MonthlyCharges_bin_High,gender_z,SeniorCitizen_z,Partner_z,Dependents_z,tenure_z,PhoneService_z,PaperlessBilling_z,MonthlyCharges_z,TotalCharges_z,Churn_z,MonthlyCharges_TotalCharges_z,tenure_TotalCharges_z,MonthlyCharges_tenure_z,TotalCharges_log_z
0,0,1,0,1,0,1,29.85,29.85,0,0,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,891.0225,29.85,29.85,3.4291367503513968,True,False,False,-1.0094870000640024,-0.43988526126177124,1.0344567814491916,-0.6539654975887953,-1.277522937084805,-3.0537935721706098,0.8297385900637549,-1.1608924475388513,-0.995948995566226,-0.6009808099475747,-0.8085838972059026,-0.7665819990837635,-0.9940864391358372,-2.2737901056057415
1,0,0,0,34,1,0,56.95,1889.5,0,0,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,107607.02500000001,64243.0,1936.3000000000002,7.544596623330987,False,True,False,0.9904615066732041,-0.43988526126177124,-0.9665536859352237,-0.6539654975887953,0.06626458594813933,0.3274150630750442,-1.2050277364749034,-0.25944643727343863,-0.17311428464820527,-0.6009808099475747,-0.3569388577089258,-0.3555527128700443,-0.15137274167935896,0.3890745745935787
1,0,0,0,2,1,1,53.85,108.15,1,0,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,5823.8775000000005,216.3,107.7,4.692723082995953,False,True,False,0.9904615066732041,-0.43988526126177124,-0.9665536859352237,-0.6539654975887953,-1.2368021030535035,0.3274150630750442,0.8297385900637549,-0.3625638775621021,-0.9613037892828494,1.663710385590557,-0.7877069955312184,-0.7653885299825818,-0.9596741747979386,-1.4561999651518402
1,0,0,0,45,0,0,42.3,1840.75,0,0,False,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,77863.72499999999,82833.75,1903.4999999999998,7.518471485562923,False,True,False,0.9904615066732041,-0.43988526126177124,-0.9665536859352237,-0.6539654975887953,0.5141937602924541,-3.0537935721706098,-1.2050277364749034,-0.7467595018634129,-0.194684575916591,-0.6009808099475747,-0.48281889058656696,-0.23655305777326582,-0.16587142209404218,0.372170581169983
0,0,0,0,2,1,1,70.7,151.65,1,0,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,10721.655,303.3,141.4,5.028147719180887,False,False,True,-1.0094870000640024,-0.43988526126177124,-0.9665536859352237,-0.6539654975887953,-1.2368021030535035,0.3274150630750442,0.8297385900637549,0.19792930594240735,-0.9420564524587514,1.663710385590557,-0.766978549369314,-0.7648316417455058,-0.9447776647377306,-1.23916701035865
0,0,0,0,8,1,1,99.65,820.5,1,0,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,81762.82500000001,6564.0,797.2,6.711131937477322,False,False,True,-1.0094870000640024,-0.43988526126177124,-0.9665536859352237,-0.6539654975887953,-0.9924770988656955,0.3274150630750442,0.8297385900637549,1.1609131434768614,-0.6461120562564994,1.663710385590557,-0.4663170620674312,-0.7247568120229609,-0.6548924630319642,-0.15020991429788974
1,0,0,1,22,1,1,89.1,1949.4,0,0,False,False,True,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,173691.54,42886.8,1960.1999999999998,7.575789758727007,False,False,True,0.9904615066732041,-0.43988526126177124,-0.9665536859352237,1.528915544836743,-0.42238542242747673,0.3274150630750442,0.8297385900637549,0.8099812095912482,-0.14661048060766566,-0.6009808099475747,-0.07725499879270048,-0.49225405273948586,-0.14080815442597727,0.40925776215327136
0,0,0,0,10,0,0,29.75,301.9,0,0,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,8981.525,3019.0,297.5,5.713402718033191,True,False,False,-1.0094870000640024,-0.43988526126177124,-0.9665536859352237,-0.6539654975887953,-0.9110354308030928,-3.0537935721706098,-1.2050277364749034,-1.1642188165804213,-0.8755757086008036,-0.6009808099475747,-0.7743431532166131,-0.7474484074302511,-0.8757763228861446,-0.7957800281760937
0,0,1,0,28,1,1,104.8,3046.05,1,0,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,319226.04000000004,85289.40000000001,2934.4,8.02192918843427,False,False,True,-1.0094870000640024,-0.43988526126177124,1.0344567814491916,-0.6539654975887953,-0.1780604182396687,0.3274150630750442,0.8297385900637549,1.3322211491177052,0.3386215177405436,1.663710385590557,0.538678258271279,-0.2208344072057306,0.289820335207688,0.6979275503370201
1,0,0,1,62,1,0,56.15,3487.95,0,0,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,195848.3925,216252.9,3481.2999999999997,8.15735611033029,False,True,False,0.9904615066732041,-0.43988526126177124,-0.9665536859352237,1.528915544836743,1.2064479388245768,0.3274150630750442,-1.2050277364749034,-0.2860573896059971,0.5341479118225875,-0.6009808099475747,0.016517559099834697,0.6174648184988238,0.5315681498049487,0.7855541044027597
